run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
run_1778424061,290,-0.075000,6.0000,0.0500,0.001,0.99,0.007176
run_1778424061,291,-0.077083,6.1667,0.0500,0.001,0.99,0.008620
run_1778424061,292,-0.066625,5.3300,0.0500,0.001,0.99,0.008349
run_1778424061,293,-0.065875,5.2700,0.0500,0.001,0.99,0.007833
run_1778424061,294,-0.071000,5.6800,0.0500,0.001,0.99,0.008047
run_1778424061,295,-0.075042,6.0033,0.0500,0.001,0.99,0.007617
run_1778424061,296,-0.070875,5.6700,0.0500,0.001,0.99,0.008106
run_1778424061,297,-0.073958,5.9167,0.0500,0.001,0.99,0.008205
run_1778424061,298,-0.063667,5.0933,0.0500,0.001,0.99,0.008303
run_1778424061,299,-0.076167,6.0933,0.0500,0.001,0.99,0.008031
run_1778424061,300,-0.064333,5.1467,0.0500,0.001,0.99,0.007316
run_1778424061,301,-0.059292,4.7433,0.0500,0.001,0.99,0.008683
run_1778424061,302,-0.067292,5.3833,0.0500,0.001,0.99,0.008298
run_1778424061,303,-0.069458,5.5567,0.0500,0.001,0.99,0.008047
run_1778424061,304,-0.071583,5.7267,0.0500,0.001,0.99,0.009115
run_1778424061,305,-0.069875,5.5900,0.0500,0.001,0.99,0.008663
run_1778424061,306,-0.069792,5.5833,0.0500,0.001,0.99,0.008132
run_1778424061,307,-0.070208,5.6167,0.0500,0.001,0.99,0.008237
run_1778424061,308,-0.059583,4.7667,0.0500,0.001,0.99,0.007361
run_1778424061,309,-0.074167,5.9333,0.0500,0.001,0.99,0.007896
run_1778424061,310,-0.064500,5.1600,0.0500,0.001,0.99,0.007724
run_1778424061,311,-0.065208,5.2167,0.0500,0.001,0.99,0.007841
run_1778424061,312,-0.068292,5.4633,0.0500,0.001,0.99,0.008387
run_1778424061,313,-0.073167,5.8533,0.0500,0.001,0.99,0.008850
run_1778424061,314,-0.066292,5.3033,0.0500,0.001,0.99,0.008437
run_1778424061,315,-0.084083,6.7267,0.0500,0.001,0.99,0.008362
run_1778424061,316,-0.072208,5.7767,0.0500,0.001,0.99,0.009048
run_1778424061,317,-0.074750,5.9800,0.0500,0.001,0.99,0.009216
run_1778424061,318,-0.072292,5.7833,0.0500,0.001,0.99,0.008350
run_1778424061,319,-0.064875,5.1900,0.0500,0.001,0.99,0.007894
run_1778424061,320,-0.068833,5.5067,0.0500,0.001,0.99,0.009690
run_1778424061,321,-0.073000,5.8400,0.0500,0.001,0.99,0.010996
run_1778424061,322,-0.068958,5.5167,0.0500,0.001,0.99,0.009211
run_1778424061,323,-0.072083,5.7667,0.0500,0.001,0.99,0.008926
run_1778424061,324,-0.068792,5.5033,0.0500,0.001,0.99,0.009375
run_1778424061,325,-0.074708,5.9767,0.0500,0.001,0.99,0.008490
run_1778424061,326,-0.068417,5.4733,0.0500,0.001,0.99,0.008104
run_1778424061,327,-0.067042,5.3633,0.0500,0.001,0.99,0.009087
run_1778424061,328,-0.064958,5.1967,0.0500,0.001,0.99,0.009818
run_1778424061,329,-0.075667,6.0533,0.0500,0.001,0.99,0.009413
run_1778424061,330,-0.072292,5.7833,0.0500,0.001,0.99,0.009276
run_1778424061,331,-0.076000,6.0800,0.0500,0.001,0.99,0.009724
run_1778424061,332,-0.072875,5.8300,0.0500,0.001,0.99,0.008897
run_1778424061,333,-0.067125,5.3700,0.0500,0.001,0.99,0.009677
run_1778424061,334,-0.072917,5.8333,0.0500,0.001,0.99,0.009673
run_1778424061,335,-0.062667,5.0133,0.0500,0.001,0.99,0.009334
run_1778424061,336,-0.071542,5.7233,0.0500,0.001,0.99,0.009055
run_1778424061,337,-0.073875,5.9100,0.0500,0.001,0.99,0.008975
run_1778424061,338,-0.073500,5.8800,0.0500,0.001,0.99,0.009715
run_1778424061,339,-0.075875,6.0700,0.0500,0.001,0.99,0.008582
run_1778424061,340,-0.065250,5.2200,0.0500,0.001,0.99,0.008900
run_1778424061,341,-0.075292,6.0233,0.0500,0.001,0.99,0.009855
run_1778424061,342,-0.072458,5.7967,0.0500,0.001,0.99,0.009679
run_1778424061,343,-0.051417,4.1133,0.0500,0.001,0.99,0.008776
run_1778424061,344,-0.069250,5.5400,0.0500,0.001,0.99,0.009833
run_1778424061,345,-0.067500,5.4000,0.0500,0.001,0.99,0.008810
run_1778424061,346,-0.076792,6.1433,0.0500,0.001,0.99,0.009314
run_1778424061,347,-0.067958,5.4367,0.0500,0.001,0.99,0.009149
run_1778424061,348,-0.064542,5.1633,0.0500,0.001,0.99,0.008170
run_1778424061,349,-0.066000,5.2800,0.0500,0.001,0.99,0.008840
run_1778424061,350,-0.064292,5.1433,0.0500,0.001,0.99,0.010404
run_1778424061,351,-0.066667,5.3333,0.0500,0.001,0.99,0.009710
run_1778424061,352,-0.075625,6.0500,0.0500,0.001,0.99,0.009501
run_1778424061,353,-0.063917,5.1133,0.0500,0.001,0.99,0.009889
run_1778424061,354,-0.068000,5.4400,0.0500,0.001,0.99,0.010804
run_1778424061,355,-0.070083,5.6067,0.0500,0.001,0.99,0.010155
run_1778424061,356,-0.078292,6.2633,0.0500,0.001,0.99,0.010330
run_1778424061,357,-0.082792,6.6233,0.0500,0.001,0.99,0.009002
run_1778424061,358,-0.077125,6.1700,0.0500,0.001,0.99,0.010059
run_1778424061,359,-0.072000,5.7600,0.0500,0.001,0.99,0.011648
run_1778424061,360,-0.084708,6.7767,0.0500,0.001,0.99,0.010168
run_1778424061,361,-0.063208,5.0567,0.0500,0.001,0.99,0.009270
run_1778424061,362,-0.063417,5.0733,0.0500,0.001,0.99,0.010467
run_1778424061,363,-0.077000,6.1600,0.0500,0.001,0.99,0.010246
