run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
dqn_v1_baseline,294,-0.065875,5.2700,0.0500,0.001,0.99,0.008607
dqn_v1_baseline,295,-0.074000,5.9200,0.0500,0.001,0.99,0.009499
dqn_v1_baseline,296,-0.070333,5.6267,0.0500,0.001,0.99,0.009842
dqn_v1_baseline,297,-0.062750,5.0200,0.0500,0.001,0.99,0.007765
dqn_v1_baseline,298,-0.072875,5.8300,0.0500,0.001,0.99,0.008737
dqn_v1_baseline,299,-0.076250,6.1000,0.0500,0.001,0.99,0.009453
dqn_v1_baseline,300,-0.078375,6.2700,0.0500,0.001,0.99,0.009500
dqn_v1_baseline,301,-0.065167,5.2133,0.0500,0.001,0.99,0.009505
dqn_v1_baseline,302,-0.069667,5.5733,0.0500,0.001,0.99,0.009238
dqn_v1_baseline,303,-0.074167,5.9333,0.0500,0.001,0.99,0.009767
dqn_v1_baseline,304,-0.069917,5.5933,0.0500,0.001,0.99,0.009748
dqn_v1_baseline,305,-0.068750,5.5000,0.0500,0.001,0.99,0.008117
dqn_v1_baseline,306,-0.075750,6.0600,0.0500,0.001,0.99,0.009168
dqn_v1_baseline,307,-0.083875,6.7100,0.0500,0.001,0.99,0.009782
dqn_v1_baseline,308,-0.079250,6.3400,0.0500,0.001,0.99,0.008528
dqn_v1_baseline,309,-0.072250,5.7800,0.0500,0.001,0.99,0.010060
dqn_v1_baseline,310,-0.075375,6.0300,0.0500,0.001,0.99,0.008367
dqn_v1_baseline,311,-0.071750,5.7400,0.0500,0.001,0.99,0.009849
dqn_v1_baseline,312,-0.074917,5.9933,0.0500,0.001,0.99,0.009759
dqn_v1_baseline,313,-0.066750,5.3400,0.0500,0.001,0.99,0.010258
dqn_v1_baseline,314,-0.078000,6.2400,0.0500,0.001,0.99,0.009194
dqn_v1_baseline,315,-0.070167,5.6133,0.0500,0.001,0.99,0.009917
dqn_v1_baseline,316,-0.075167,6.0133,0.0500,0.001,0.99,0.009939
dqn_v1_baseline,317,-0.066167,5.2933,0.0500,0.001,0.99,0.009796
dqn_v1_baseline,318,-0.072167,5.7733,0.0500,0.001,0.99,0.009245
dqn_v1_baseline,319,-0.070583,5.6467,0.0500,0.001,0.99,0.009448
dqn_v1_baseline,320,-0.071458,5.7167,0.0500,0.001,0.99,0.008653
dqn_v1_baseline,321,-0.068583,5.4867,0.0500,0.001,0.99,0.009790
dqn_v1_baseline,322,-0.069708,5.5767,0.0500,0.001,0.99,0.009128
dqn_v1_baseline,323,-0.065292,5.2233,0.0500,0.001,0.99,0.009058
dqn_v1_baseline,324,-0.064875,5.1900,0.0500,0.001,0.99,0.010402
dqn_v1_baseline,325,-0.067083,5.3667,0.0500,0.001,0.99,0.009757
dqn_v1_baseline,326,-0.087625,7.0100,0.0500,0.001,0.99,0.010411
dqn_v1_baseline,327,-0.073792,5.9033,0.0500,0.001,0.99,0.009503
dqn_v1_baseline,328,-0.070417,5.6333,0.0500,0.001,0.99,0.010806
dqn_v1_baseline,329,-0.079333,6.3467,0.0500,0.001,0.99,0.010215
